年份,人口,GDP,垃圾处理厂数量,城市化率,污水排放量,食品制造业固体废物产生量（万吨）,垃圾总产量
2019,3453.469,20051.63,26,68.48148,126192.9,38.13718,1533.021287
2020,3472.506,21063.6,27,70.18059,130181.1,40.10623,1534.786886
2021,3491.542,22077.59,28,71.88018,134177.1,42.08063,1536.536178
2022,3510.579,23093.28,29,73.58017,138179.5,44.05948,1538.268069
2023,3529.616,24110.39,30,75.2805,142187.4,46.0421,1539.981694
2024,3548.652,25128.71,31,76.98112,146199.9,48.02791,1541.676257
2025,3567.689,26148.06,32,78.68198,150216.3,50.01645,1543.351082
2026,3586.726,27168.31,33,80.38306,154236.2,52.00734,1545.005646
2027,3605.762,28189.32,33,82.08431,158259,54.00026,1546.639126
2028,3624.799,29211.01,34,83.78573,162284.4,55.99495,1548.251661
2029,3643.835,30233.28,35,85.48729,166312,57.9912,1549.842571
2030,3662.872,31256.07,36,87.18896,170341.6,59.98881,1551.411557
2031,3681.909,32279.32,37,88.89075,174373,61.98763,1552.958349
2032,3700.945,33302.98,38,90.59263,178405.9,63.98752,1554.482682
2033,3719.982,34327,39,92.2946,182440.2,65.98837,1555.984377
2034,3739.019,35351.34,40,93.99665,186475.7,67.99008,1557.463259
2035,3758.055,36375.98,41,95.69877,190512.4,69.99255,1558.91924
2036,3777.092,37400.87,42,97.40094,194550,71.99573,1560.352165
2037,3796.128,38426.01,42,99.10318,198588.6,73.99953,1561.7618
2038,3815.165,39451.36,43,100.80546,202628,76.0039,1563.148535
