城市,乘客到达/出发数量(万人次),距离市中心的距离(km),出租车数量(万辆),城市人口数量(万人),出租车价格(/km),交通等级,
青岛,232.1,32,1.1,939.48,2.31,3,0
济南,143.2,28.5,0.809,681.4,3.3,3,0
烟台,84.33,15.5,0.35,696.82,1.76,3,0
北海,22.8,24,1.1,175.42,1.54,3,0
北京,957.9,26,6.3,2170.7,2.53,3,1
长沙,253,26,0.8166,815.47,2.75,3,0
重庆,387.1,23,1.4602,2884.62,3.63,3,1
大连,175,10,1.21,669.04,3.63,3,0
福州,124.7,12,0.3745,711.54,2.915,3,0
广州,658.4,28,1.6,1270.08,4.4,3,1
桂林,87.3,13,0.3121,534.08,2.178,3,0
杭州,355.7,12,1.159,870.04,3.74,3,0
汉中,4.95,1,0.286,380.68,1.76,3,0
拉萨,41.5,160,0.166,90.25,3.41,3,0
南京,258.2,34,0.9,800.47,3.3,3,0
宁波,93.9,12,0.33,820.2,2.64,3,0
汕头,50.26,13,0.2278,563.85,2.75,3,0
沈阳,173.4,18,1.7,810.62,3.41,3,0
深圳,456.1,38,0.85,1302.66,3.08,3,1
乌鲁木齐,215,17,1.2388,350.58,2.53,3,0
延安,3.87,10,0.13,225.94,1.98,3,0
宜昌,29.49,25,0.1727,416.92,2.035,3,0
郑州,243,35,1.1,1013.6,1.87,3,0
安康,2.34,17,0.0726,265.6,1.98,3,0
包头,20.32,23,0.912,288.87,2.2,3,0
成都,498,16,1.7587,1404.76,2.31,3,1
敦煌,7.58,13,0.0981,19.11,3.74,3,0
常州,33.3,27,0.614,472.9,2.64,3,0
海口,241.2,20,0.2947,230.23,2.53,3,0
哈尔滨,188.1,33,1.2,1085.8,2.31,3,0
黄山,7.25,5,0.124,138.4,1.65,3,0
贵阳,181.1,35,0.8714,488.19,2.31,3,0
兰州,128.2,75,0.9602,375.36,2.475,3,0
昆明,470.9,5,0.7651,672.8,2.145,3,0
嘉峪关,14,14,0.8991,24.59,1.815,3,0
南昌,109.3,28,0.5453,554.55,1.98,3,0
上海,419.1,13,5,2301.91,3.19,3,1
武汉,231.3,26,1.8,1108.1,2.31,3,0
天津,210.1,18,3.5,1559.6,2.145,3,1
太原,124,15,0.8292,442.15,1.98,3,0
西宁,61.99,24,0.5556,237.11,2.035,3,0
榆林,10.9,2,0.1121,370,1.65,3,0
银川,79.4,12,0.5006,225.06,1.43,3,0
珠海,92.2,31,0.3704,189.11,2.97,3,0
西安,444.6,48,1.2,846.78,2.915,3,0
厦门,244.9,10,0.2854,411,2.53,3,0
南宁,139.2,30,0.672,666.16,2.585,3,0
