时间,最高价
2015/1/1,0.9
2015/2/1,1.246
2015/3/1,1.52524
2015/4/1,1.9084856
2015/5/1,2.285490864
2015/6/1,3.362870548
2015/7/1,3.598227767
2015/8/1,3.284106334
2015/9/1,4.40295362
2015/10/1,5.935822783
2015/11/1,8.343850633
2015/12/1,13.19936896
2016/1/1,9.808037862
2016/2/1,3.011517728
2016/3/1,4.419308936
2016/4/1,6.134841464
2016/5/1,6.331909512
2016/6/1,7.520085429
2016/7/1,7.548794874
2016/8/1,6.947072308
2016/9/1,7.783175662
2016/10/1,8.33300946
2016/11/1,10.40001943
2016/12/1,16.27599883
2017/1/1,10.02344007
2017/2/1,1.798593596
2017/3/1,5.092084384
2017/4/1,6.494474937
2017/5/1,7.510331504
2017/6/1,9.94938011
2017/7/1,10.90303719
2017/8/1,11.74581777
2017/9/1,13.89525093
2017/10/1,16.06628494
2017/11/1,20.0360229
2017/12/1,26.99783863
2018/1/1,18.48012968
2018/2/1,6.091192219
2018/3/1,9.834528467
2018/4/1,14.40992829
2018/5/1,17.5354043
2018/6/1,20.24787574
2018/7/1,19.68512746
2018/8/1,18.11889235
2018/9/1,21.11286646
2018/10/1,26.03322801
2018/11/1,30.33800632
2018/12/1,36.87971962
2019/1/1,28.28721682
2019/2/1,13.30276699
2019/3/1,17.90183398
2019/4/1,21.92588996
2019/5/1,20.0844466
2019/6/1,23.3949332
2019/7/1,20.39630401
